"","sample","lakenames","limnion","filter","quadrant","trophicstate","Phylum","Class","AbundPerClass","PercentClass","MeanClassQuad","SEClassQuad","MeanClassTrophicState","SEClassTrophicState","MeanClassLake","SEClassLake"
"1","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Acidobacteria","Acidobacteria",0,0,12.8421052631579,7.3573224685219,52.5217391304348,18.060271246329,64.375,36.453952117706
"2","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Acidobacteria","Holophagae",0,0,0,0,7.30434782608696,2.4826948753931,7.375,2.89665755656412
"3","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Actinobacteria","Acidimicrobiia",48,0.0056,46.7894736842105,14.6426395990974,25.5652173913043,9.7299151772027,15.75,6.41357377531658
"4","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Actinobacteria","Actinobacteria",1786,0.2101,1784.36842105263,72.4347341047943,675.913043478261,141.745093717762,687.625,272.709548362094
"5","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Actinobacteria","OPB41",0,0,0,0,0.91304347826087,0.494687362756111,0,0
"6","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Actinobacteria","Thermoleophilia",0,0,0,0,0.173913043478261,0.173913043478261,0,0
"7","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Actinobacteria","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"8","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Armatimonadetes","Armatimonadia",0,0,21.1052631578947,8.72714885378012,16.0869565217391,6.31232968884742,2.125,1.41972708645007
"9","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Armatimonadetes","Chthonomonadetes",0,0,0,0,0.434782608695652,0.242076711427392,0.5,0.5
"10","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Armatimonadetes","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"11","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","Bacteroidia",31,0.0036,12.9473684210526,6.70274172941861,175.347826086957,35.4098872268968,216.125,74.4360793615185
"12","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","BD2-2",0,0,0,0,5.82608695652174,1.84760519488825,10.625,4.19156252829078
"13","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","BSV13",3,4e-04,1.21052631578947,0.755405268126701,120.434782608696,25.7711750371281,102.5,36.9855184015118
"14","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","Cytophagia",455,0.0535,326.684210526316,42.6338314328048,153.782608695652,35.3810961183584,179.5,76.1546828125869
"15","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","Flavobacteriia",365,0.0429,380.684210526316,57.7330544051231,430.521739130435,93.3451004865427,143.375,46.5237794420383
"16","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","SB-1",0,0,0,0,21.8695652173913,7.49025832359961,13.125,5.92041715470407
"17","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","SB-5",0,0,0,0,11,3.59622111724386,11,4.50396650583841
"18","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","SM1A07",0,0,0,0,0,0,0,0
"19","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","Sphingobacteriia",980,0.1153,983.578947368421,78.3689100169728,1317.60869565217,108.32785362076,1061.875,91.8648925441208
"20","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","unclassified",70,0.0082,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"21","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","vadinHA17",0,0,0.473684210526316,0.473684210526316,34.304347826087,9.88479784263481,34.375,12.8853980203507
"22","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","VC2.1_Bac22",0,0,6.42105263157895,2.69428221676735,0.521739130434783,0.360443102456221,0,0
"23","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes","WCHB1-32",0,0,0,0,15.1304347826087,3.9519367082923,6.375,2.71857039636644
"24","BAKE1","Baker","Top","Free","Free Top","Eutrophic","BD1-5","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"25","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_BRC1","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"26","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OD1","unclassified",13,0.0015,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"27","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP11","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"28","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP3","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"29","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP8","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"30","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_SR1","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"31","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_TM7","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"32","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_WS3","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"33","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_WS3","Unknown_Class",0,0,0,0,0.608695652173913,0.348566405822356,0,0
"34","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chlamydiae","Chlamydiae",174,0.0205,28.0526315789474,10.2889464575295,15.695652173913,8.47559499995112,38,23.0465367711259
"35","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chlorobi","Chlorobia",4,5e-04,53.6315789473684,27.4732416894298,105.913043478261,27.0485519432591,112,45.8713262444915
"36","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chlorobi","Ignavibacteria",0,0,0,0,2.69565217391304,0.948130639688325,2.875,1.70542726108654
"37","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi","Anaerolineae",5,6e-04,1.21052631578947,0.747623710619737,95.1739130434783,29.9087315349762,100,46.917100141785
"38","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi","Ardenticatenia",0,0,0,0,1.56521739130435,0.792320070861397,0.625,0.625
"39","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi","Caldilineae",0,0,1.52631578947368,0.931478172102336,69.2608695652174,29.1235759726718,101.5,67.7893270149723
"40","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi","Chloroflexia",9,0.0011,10,5.55882944470521,141.826086956522,44.9297938146716,256.75,112.852265943451
"41","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi","Dehalococcoidia",0,0,0,0,10.9130434782609,5.91939033938738,0,0
"42","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi","SL56_marine_group",0,0,6.63157894736842,2.65701160708968,5.65217391304348,1.96371099003395,8.25,4.03444986513474
"43","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
"44","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Cyanobacteria","Cyanobacteria",153,0.018,797.473684210526,134.116349253047,711.478260869565,164.139736929813,590.125,258.401227157358
"45","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Cyanobacteria","Melainabacteria",20,0.0024,18.6842105263158,5.76136183928346,33.3913043478261,11.3014286288549,17.125,5.90531691420053
"46","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Cyanobacteria","ML635J-21",2,2e-04,1.15789473684211,0.520139195802582,1.43478260869565,0.814459463214378,1.25,0.619619699032053
"47","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Cyanobacteria","unclassified",0,0,21.4530892448513,2.8795969222703,27.0207939508507,3.3947709825148,27.7717391304348,4.49042172812011
