"","sample","lakenames","limnion","filter","quadrant","trophicstate","Phylum","abundPerPhylum","PercentPhyla","MeanAbund_PhylumQuad","SEAbund_PhylumQuad","MeanAbunTrophicstate","MeanAbund_PhylumLake","SEAbund_PhylumTrophicstate","SEAbund_PhylumLake"
"1","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Acidobacteria",0,0,12.8421052631579,7.3573224685219,59.8260869565217,71.75,17.9900776531964,35.0207846448771
"2","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Actinobacteria",1834,0.2158,1831.15789473684,70.7080838227315,702.565217391304,703.375,146.662162217904,276.285174716012
"3","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Armatimonadetes",0,0,26.1578947368421,10.8776457177993,30.3913043478261,7.375,8.19879947117363,3.33775748070467
"4","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Bacteroidetes",1904,0.224,1865.73684210526,141.193986297921,2359.30434782609,1887.125,186.829702367926,28.7435940068143
"5","BAKE1","Baker","Top","Free","Free Top","Eutrophic","BD1-5",0,0,0,0,5.08695652173913,3.875,1.19272008431099,1.57477322630457
"6","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_BRC1",0,0,0.210526315789474,0.210526315789474,5.17391304347826,5.25,1.77337820349206,2.23407059614763
"7","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OD1",13,0.0015,10.3684210526316,1.89830722732968,24.8695652173913,37.25,6.9924590515959,14.7354649933902
"8","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP11",0,0,0,0,0,0,0,0
"9","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP3",0,0,4.26315789473684,1.05365447376118,9.1304347826087,12.25,2.92886975720133,6.05849462679114
"10","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_OP8",0,0,0,0,0,0,0,0
"11","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_SR1",0,0,0,0,10.7826086956522,11.625,3.64857247613274,4.90967521474544
"12","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_TM7",0,0,0,0,0.521739130434783,0,0.360443102456221,0
"13","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Candidate_division_WS3",0,0,0,0,4.52173913043478,4.875,1.90263969452531,2.72185270410747
"14","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chlamydiae",174,0.0205,28.0526315789474,10.2889464575295,15.695652173913,38,8.47559499995112,23.0465367711259
"15","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chlorobi",4,5e-04,53.6315789473684,27.4732416894298,108.608695652174,114.875,27.145249704934,46.9918068466651
"16","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Chloroflexi",14,0.0016,19.3684210526316,5.97275026833774,328.652173913043,468.75,73.8942094116162,154.548391635574
"17","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Cyanobacteria",175,0.0206,842.473684210526,131.673003809767,750.04347826087,613.125,161.715585965343,256.795182246474
"18","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Deferribacteres",0,0,0,0,0.260869565217391,0.25,0.190872671425291,0.25
"19","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Deinococcus-Thermus",0,0,0.894736842105263,0.670579468547944,46.7826086956522,31.25,15.8906784669901,11.5661914956603
"20","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Dictyoglomi",0,0,0,0,0.173913043478261,0,0.173913043478261,0
"21","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Elusimicrobia",0,0,0,0,1.95652173913043,0,1.07519326485832,0
"22","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Fibrobacteres",0,0,0,0,4.60869565217391,1.75,2.43308806079844,1.37256277504112
"23","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Firmicutes",9,0.0011,0.473684210526316,0.473684210526316,119.869565217391,108.75,33.4551971271063,41.0503828066369
"24","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Fusobacteria",0,0,0,0,0,0,0,0
"25","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Gemmatimonadetes",0,0,0,0,0.173913043478261,0.5,0.173913043478261,0.5
"26","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Lentisphaerae",11,0.0013,2.15789473684211,1.226565494242,284.521739130435,311.375,93.0256216472993,120.167879220816
"27","BAKE1","Baker","Top","Free","Free Top","Eutrophic","NPL-UPA2",17,0.002,11.8947368421053,2.21490793815798,24.7391304347826,42.625,7.21527184461658,14.8527745123356
"28","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Planctomycetes",174,0.0205,355.684210526316,38.2972410280442,352.391304347826,287.25,49.2122024108676,35.6384373154283
"29","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Proteobacteria",2441,0.2872,1989.57894736842,115.644856525805,1842.65217391304,1944.5,115.27102637062,229.699337644421
"30","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Spirochaetae",56,0.0066,15.5789473684211,3.82230739953909,55.1304347826087,81.625,11.4655876857468,23.0921581463739
"31","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Tenericutes",0,0,0,0,3,7.625,1.47575933425753,3.80759344693507
"32","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Thermotogae",0,0,0,0,0.521739130434783,0,0.381745342850581,0
"33","BAKE1","Baker","Top","Free","Free Top","Eutrophic","TM6",35,0.0041,9.73684210526316,2.86728074335041,7.8695652173913,14,2.07021446620187,4.40373218337096
"34","BAKE1","Baker","Top","Free","Free Top","Eutrophic","unclassified",209,0.0246,173.052631578947,16.0128737835608,309.434782608696,255,41.3270875619321,30.2702116656906
"35","BAKE1","Baker","Top","Free","Free Top","Eutrophic","Verrucomicrobia",1430,0.1682,1246.31578947368,75.4881599728799,1030.73913043478,1434,129.576540741901,257.01653643297
"36","BAKE1","Baker","Top","Free","Free Top","Eutrophic","WCHB1-60",0,0,0.368421052631579,0.368421052631579,0,0,0,0
"37","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Acidobacteria",184,0.0216,50.3157894736842,21.827078604765,59.8260869565217,71.75,17.9900776531964,35.0207846448771
"38","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Actinobacteria",112,0.0132,99.8947368421053,12.7141066234712,702.565217391304,703.375,146.662162217904,276.285174716012
"39","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Armatimonadetes",19,0.0022,43.5789473684211,13.1104876971736,30.3913043478261,7.375,8.19879947117363,3.33775748070467
"40","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Bacteroidetes",1903,0.2239,1931.94736842105,187.826526187527,2359.30434782609,1887.125,186.829702367926,28.7435940068143
"41","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","BD1-5",0,0,0,0,5.08695652173913,3.875,1.19272008431099,1.57477322630457
"42","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_BRC1",0,0,0,0,5.17391304347826,5.25,1.77337820349206,2.23407059614763
"43","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OD1",0,0,0.315789473684211,0.315789473684211,24.8695652173913,37.25,6.9924590515959,14.7354649933902
"44","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP11",0,0,0,0,0,0,0,0
"45","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP3",0,0,0.421052631578947,0.299275826477754,9.1304347826087,12.25,2.92886975720133,6.05849462679114
"46","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_OP8",0,0,0,0,0,0,0,0
"47","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_SR1",0,0,0.947368421052632,0.537884551465119,10.7826086956522,11.625,3.64857247613274,4.90967521474544
"48","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_TM7",0,0,0,0,0.521739130434783,0,0.360443102456221,0
"49","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Candidate_division_WS3",0,0,0,0,4.52173913043478,4.875,1.90263969452531,2.72185270410747
"50","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chlamydiae",10,0.0012,1.68421052631579,0.741630224135026,15.695652173913,38,8.47559499995112,23.0465367711259
"51","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chlorobi",60,0.0071,25.3684210526316,16.145575050804,108.608695652174,114.875,27.145249704934,46.9918068466651
"52","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Chloroflexi",358,0.0421,96,38.9873273757824,328.652173913043,468.75,73.8942094116162,154.548391635574
"53","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Cyanobacteria",1587,0.1867,2768.73684210526,206.809314693247,750.04347826087,613.125,161.715585965343,256.795182246474
"54","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Deferribacteres",0,0,0,0,0.260869565217391,0.25,0.190872671425291,0.25
"55","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Deinococcus-Thermus",5,6e-04,1.10526315789474,0.657368210357726,46.7826086956522,31.25,15.8906784669901,11.5661914956603
"56","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Dictyoglomi",0,0,0,0,0.173913043478261,0,0.173913043478261,0
"57","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Elusimicrobia",0,0,0,0,1.95652173913043,0,1.07519326485832,0
"58","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Fibrobacteres",0,0,0,0,4.60869565217391,1.75,2.43308806079844,1.37256277504112
"59","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Firmicutes",6,7e-04,5.15789473684211,2.73515467547991,119.869565217391,108.75,33.4551971271063,41.0503828066369
"60","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Fusobacteria",0,0,2.15789473684211,1.34699830442839,0,0,0,0
"61","BAKE13um","Baker","Top","Particle","Particle Top","Eutrophic","Gemmatimonadetes",0,0,5.21052631578947,3.18951035433342,0.173913043478261,0.5,0.173913043478261,0.5
